"","Cancion","Variable","Valor"
"1","Hoy (Lo siento)","Maximo",649
"2","Hoy (Lo siento)","Mediana",21
"3","Hoy (Lo siento)","Desviacion_tipica",34.0425784135974
"4","Momento Funesto","Maximo",454
"5","Momento Funesto","Mediana",16
"6","Momento Funesto","Desviacion_tipica",29.2592717740457
"7","Bajona de Verano","Maximo",240
"8","Bajona de Verano","Mediana",12
"9","Bajona de Verano","Desviacion_tipica",15.8530816295823
"10","pase lo que pase","Maximo",450
"11","pase lo que pase","Mediana",44
"12","pase lo que pase","Desviacion_tipica",51.0041592336903
"13","demolicion","Maximo",335
"14","demolicion","Mediana",34
"15","demolicion","Desviacion_tipica",39.0623979793324
"16","becariasoy@gmail.com","Maximo",255
"17","becariasoy@gmail.com","Mediana",36
"18","becariasoy@gmail.com","Desviacion_tipica",35.635588178657
